*line 県	会社	路線	ろせん	駅	えき	営業キロ	計算キロ	乗換路線	同名駅	都区市内	新幹線乗換	近郊区間	電車特定	山手,環状線内	70条適用駅	新幹線の並行在来線	JR6社の境界駅	69条適用駅	新幹線在来線分岐駅	分岐特例2
北海道	JR北海道	函館線	はこだてせん	函館	はこだて	0	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	五稜郭	ごりょうかく	3.4	0			0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	桔梗	ききょう	8.3	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	大中山	おおなかやま	10.4	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	七飯	ななえ	13.8	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	新函館北斗	しんはこだてほくと	17.9	0	北海道新幹線		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	仁山	にやま	21.2	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	大沼	おおぬま	27	0	函館線(東森経由)		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	大沼公園	おおぬまこうえん	28	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	赤井川	あかいがわ	31.7	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	駒ケ岳	こまがたけ	36.5	0	 		0	0	0	0	0	0	!	0	0	0	!
#北海道	JR北海道	函館線	はこだてせん	東山	ひがしやま	40.1	0	 		0	0	0	0	0	0	!	0	0	0	!
#北海道	JR北海道	函館線	はこだてせん	姫川	ひめかわ	44.2	0	 	(函)	0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	森	もり	49.5	0	函館線(東森経由)		0	0	0	0	0	0	!	0	0	0	!
#北海道	JR北海道	函館線	はこだてせん	桂川	かつらがわ	52.2	0	 	(函)	0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	石谷	いしや	56.1	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	本石倉	ほんいしくら	60	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	石倉	いしくら	62.1	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	落部	おとしべ	66.1	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	野田生	のだおい	71.4	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	山越	やまこし	76	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	八雲	やくも	81.1	0	 		0	0	0	0	0	0	!	0	0	0	!
#北海道	JR北海道	函館線	はこだてせん	鷲ノ巣	わしのす	84.2	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	山崎	やまさき	88.3	0	 	(函)	0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	黒岩	くろいわ	94.4	0	 		0	0	0	0	0	0	!	0	0	0	!
#北海道	JR北海道	函館線	はこだてせん	北豊津	きたとよつ	98.2	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	国縫	くんぬい	102.8	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	中ノ沢	なかのさわ	107.7	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	長万部	おしゃまんべ	112.3	0	室蘭線		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	二股	ふたまた	120.9	0	 		0	0	0	0	0	0	!	0	0	0	!
#北海道	JR北海道	函館線	はこだてせん	蕨岱	わらびたい	126.9	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	黒松内	くろまつない	132.3	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	熱郛	ねっぷ	140.4	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	目名	めな	155.8	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	蘭越	らんこし	163.4	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	昆布	こんぶ	170.3	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	ニセコ	にせこ	179.6	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	比羅夫	ひらふ	186.6	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	倶知安	くっちゃん	193.3	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	小沢	こざわ	203.6	0			0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	銀山	ぎんざん	213.4	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	然別	しかりべつ	224.1	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	仁木	にき	228.2	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	余市	よいち	232.6	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	蘭島	らんしま	237.9	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	塩谷	しおや	244.8	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	小樽	おたる	252.5	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	南小樽	みなみおたる	254.1	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	小樽築港	おたるちっこう	256.2	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	朝里	あさり	259.3	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	銭函	ぜにばこ	268.1	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	ほしみ	ほしみ	271	0	 		11	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	星置	ほしおき	272.6	0	 		11	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	稲穂	いなほ	273.7	0	 		11	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	手稲	ていね	275.7	0	 		11	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	稲積公園	いなづみこうえん	277	0	 		11	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	発寒	はっさむ	279.2	0	 		11	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	発寒中央	はっさむちゅうおう	281	0	 		11	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	琴似	ことに	282.5	0	 		11	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	桑園	そうえん	284.7	0	札沼線		11	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	札幌	さっぽろ	286.3	0	 		111	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	苗穂	なえぼ	288.2	0	 		11	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	白石	しろいし	292.1	0	千歳線	(函)	11	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	厚別	あつべつ	296.5	0	 		11	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	森林公園	しんりんこうえん	298.5	0	 		11	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	大麻	おおあさ	300.8	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	野幌	のっぽろ	304.2	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	高砂	たかさご	305.5	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	江別	えべつ	307.3	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	豊幌	とよほろ	313.5	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	幌向	ほろむい	316.7	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	上幌向	かみほろむい	322.6	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	岩見沢	いわみざわ	326.9	0	室蘭線		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	峰延	みねのぶ	335.3	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	光珠内	こうしゅない	339.8	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	美唄	びばい	343.7	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	茶志内	ちゃしない	348.1	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	奈井江	ないえ	354.3	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	豊沼	とよぬま	359	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	砂川	すながわ	362.2	0			0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	滝川	たきかわ	369.8	0	根室線		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	江部乙	えべおつ	378.2	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	妹背牛	もせうし	385.7	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	深川	ふかがわ	392.9	0	留萌線		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	納内	おさむない	400.3	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	伊納	いのう	413	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	近文	ちかぶみ	419.1	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線	はこだてせん	旭川	あさひかわ	423.1	0	宗谷線/富良野線		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線(砂原線)	はこだてせん（さわらせん）	大沼	おおぬま	0	0	函館線		0	0	0	0	0	0	!	0	1	0	!
北海道	JR北海道	函館線(砂原線)	はこだてせん（さわらせん）	池田園	いけだえん	3.4	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線(砂原線)	はこだてせん（さわらせん）	流山温泉	ながれやまおんせん	5.6	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線(砂原線)	はこだてせん（さわらせん）	銚子口	ちょうしぐち	6.8	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線(砂原線)	はこだてせん（さわらせん）	鹿部	しかべ	14.6	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線(砂原線)	はこだてせん（さわらせん）	渡島沼尻	おしまぬまじり	20	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線(砂原線)	はこだてせん（さわらせん）	渡島砂原	おしまさわら	25.3	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線(砂原線)	はこだてせん（さわらせん）	掛澗	かかりま	29	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線(砂原線)	はこだてせん（さわらせん）	尾白内	おしろない	31.9	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線(砂原線)	はこだてせん（さわらせん）	東森	ひがしもり	33.5	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	函館線(砂原線)	はこだてせん（さわらせん）	森	もり	35.3	0	函館線		0	0	0	0	0	0	!	0	1	0	!
x	branch	札沼線	さっしょうせん	札幌	桑園	-32768	函館線				0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	札沼線	さっしょうせん	桑園	そうえん	0	0	函館線		11	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	札沼線	さっしょうせん	八軒	はちけん	2.2	2.4	 		11	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	札沼線	さっしょうせん	新川	しんかわ	3.7	4.1	 		11	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	札沼線	さっしょうせん	新琴似	しんことに	5.6	6.2	 		11	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	札沼線	さっしょうせん	太平	たいへい	7.3	8	 		11	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	札沼線	さっしょうせん	百合が原	ゆりがはら	8.6	9.5	 		11	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	札沼線	さっしょうせん	篠路	しのろ	10.2	11.2	 		11	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	札沼線	さっしょうせん	拓北	たくほく	12.2	13.4	 		11	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	札沼線	さっしょうせん	あいの里教育大	あいのさときょういくだい	13.6	15	 		11	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	札沼線	さっしょうせん	あいの里公園	あいのさとこうえん	15.1	16.6	 		11	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	札沼線	さっしょうせん	石狩太美	いしかりふとみ	19.3	21.2	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	札沼線	さっしょうせん	石狩当別	いしかりとうべつ	25.9	28.5	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	札沼線	さっしょうせん	北海道医療大学	ほっかいどういりょうだいがく	28.9	31.8	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	札沼線	さっしょうせん	石狩金沢	いしかりかなざわ	31.1	34.2	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	札沼線	さっしょうせん	本中小屋	もとなかごや	35.6	39.2	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	札沼線	さっしょうせん	中小屋	なかごや	38.8	42.7	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	札沼線	さっしょうせん	月ケ岡	つきがおか	41.6	45.8	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	札沼線	さっしょうせん	知来乙	ちらいおつ	44.2	48.6	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	札沼線	さっしょうせん	石狩月形	いしかりつきがた	46.3	50.9	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	札沼線	さっしょうせん	豊ケ岡	とよがおか	51	56.1	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	札沼線	さっしょうせん	札比内	さっぴない	53.5	58.9	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	札沼線	さっしょうせん	晩生内	おそきない	58	63.8	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	札沼線	さっしょうせん	札的	さってき	60.9	67	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	札沼線	さっしょうせん	浦臼	うらうす	62.7	69	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	札沼線	さっしょうせん	鶴沼	つるぬま	66.1	72.7	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	札沼線	さっしょうせん	於札内	おさつない	67.9	74.7	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	札沼線	さっしょうせん	南下徳富	みなみしもとっぷ	69.4	76.3	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	札沼線	さっしょうせん	下徳富	しもとっぷ	71.5	78.7	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	札沼線	さっしょうせん	新十津川	しんとつかわ	76.5	84.2	 		0	0	0	0	0	0	!	0	0	0	!
x	branch	千歳線	ちとせせん	苫小牧	沼ノ端	-32768	室蘭線				0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	千歳線	ちとせせん	沼ノ端	ぬまのはた	0	0	室蘭線		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	千歳線	ちとせせん	植苗	うえなえ	6.4	0			0	0	0	0	0	0	!	0	0	0	!
#北海道	JR北海道	千歳線	ちとせせん	美々	びび	13.9	0			0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	千歳線	ちとせせん	南千歳	みなみちとせ	18.4	0	石勝線/千歳線(南千歳-新千歳空港)		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	千歳線	ちとせせん	千歳	ちとせ	21.4	0		(千)	0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	千歳線	ちとせせん	長都	おさつ	24.9	0			0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	千歳線	ちとせせん	サッポロビール庭園	さっぽろびーるていえん	27.1	0			0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	千歳線	ちとせせん	恵庭	えにわ	29.4	0			0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	千歳線	ちとせせん	恵み野	めぐみの	31.9	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	千歳線	ちとせせん	島松	しままつ	34.1	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	千歳線	ちとせせん	北広島	きたひろしま	40.6	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	千歳線	ちとせせん	上野幌	かみのっぽろ	48.6	0	 		11	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	千歳線	ちとせせん	新札幌	しんさっぽろ	51.5	0			11	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	千歳線	ちとせせん	平和	へいわ	54.4	0	 		11	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	千歳線	ちとせせん	白石	しろいし	56.6	0	函館線	(函)	11	0	0	0	0	0	!	0	0	0	!
x	branch	千歳線	ちとせせん	札幌	白石(函)	32767	函館線				0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	千歳線(空港線)	ちとせせん（くうこうせん）	南千歳	みなみちとせ	0	0	千歳線/石勝線		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	千歳線(空港線)	ちとせせん（くうこうせん）	新千歳空港	しんちとせくうこう	2.6	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	石勝線	せきしょうせん	南千歳	みなみちとせ	0	0	千歳線/千歳線(南千歳-新千歳空港)		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	石勝線	せきしょうせん	追分	おいわけ	17.6	0	室蘭線	(室)	0	0	0	0	0	0	!	0	0	0	!
#北海道	JR北海道	石勝線	せきしょうせん	東追分	ひがしおいわけ	21.6	0			0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	石勝線	せきしょうせん	川端	かわばた	27	0			0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	石勝線	せきしょうせん	滝ノ上	たきのうえ	35.8	0			0	0	0	0	0	0	!	0	0	0	!
#北海道	JR北海道	石勝線	せきしょうせん	十三里	とみさと	40.2	0			0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	石勝線	せきしょうせん	新夕張	しんゆうばり	43	0			0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	石勝線	せきしょうせん	占冠	しむかっぷ	77.3	0			0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	石勝線	せきしょうせん	トマム	とまむ	98.6	0			0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	石勝線	せきしょうせん	新得	しんとく	132.4	0	根室線		0	0	0	0	0	0	!	0	0	0	!
#北海道	JR北海道	石勝線(夕張線)	せきしょうせん（ゆうばりせん）	新夕張	しんゆうばり	0	0	石勝線		0	0	0	0	0	0	!	0	0	0	!
#北海道	JR北海道	石勝線(夕張線)	せきしょうせん（ゆうばりせん）	沼ノ沢	ぬまのさわ	2.7	0			0	0	0	0	0	0	!	0	0	0	!
#北海道	JR北海道	石勝線(夕張線)	せきしょうせん（ゆうばりせん）	南清水沢	みなみしみずさわ	6.7	0			0	0	0	0	0	0	!	0	0	0	!
#北海道	JR北海道	石勝線(夕張線)	せきしょうせん（ゆうばりせん）	清水沢	しみずさわ	8.2	0			0	0	0	0	0	0	!	0	0	0	!
#北海道	JR北海道	石勝線(夕張線)	せきしょうせん（ゆうばりせん）	鹿ノ谷	しかのたに	14.8	0			0	0	0	0	0	0	!	0	0	0	!
#北海道	JR北海道	石勝線(夕張線)	せきしょうせん（ゆうばりせん）	夕張	ゆうばり	16.1	0			0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	長万部	おしゃまんべ	0	0	函館線		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	静狩	しずかり	10.6	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	小幌	こぼろ	17.5	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	礼文	れぶん	23.6	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	大岸	おおきし	27.7	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	豊浦	とようら	36.1	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	洞爺	とうや	41.5	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	有珠	うす	46.6	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	長和	ながわ	51.5	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	伊達紋別	だてもんべつ	54.5	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	北舟岡	きたふなおか	57.4	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	稀府	まれっぷ	60.6	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	黄金	こがね	65.1	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	崎守	さきもり	67.3	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	本輪西	もとわにし	72.7	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	東室蘭	ひがしむろらん	77.2	0	室蘭線(東室蘭-室蘭)		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	鷲別	わしべつ	79.1	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	幌別	ほろべつ	86.8	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	富浦	とみうら	92.3	0	 	(室)	0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	登別	のぼりべつ	94.7	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	虎杖浜	こじょうはま	98.1	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	竹浦	たけうら	102.9	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	北吉原	きたよしはら	105.7	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	萩野	はぎの	107.8	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	白老	しらおい	113.6	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	社台	しゃだい	119.1	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	錦岡	にしきおか	125.4	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	糸井	いとい	130.6	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	青葉	あおば	132.8	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	苫小牧	とまこまい	135.2	0	日高線		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	沼ノ端	ぬまのはた	144	0	千歳線		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	遠浅	とあさ	152.9	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	早来	はやきた	158.3	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	安平	あびら	164	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	追分	おいわけ	170.8	0	石勝線	(室)	0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	三川	みかわ	178.8	0	 	(室)	0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	古山	ふるさん	182.2	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	由仁	ゆに	186.4	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	栗山	くりやま	191.5	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	栗丘	くりおか	195.7	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	栗沢	くりさわ	199.6	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	志文	しぶん	203.9	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線	むろらんせん	岩見沢	いわみざわ	211	0	函館線		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線(室蘭支線)	むろらんせん（むろらんしせん）	東室蘭	ひがしむろらん	0	0	室蘭線		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線(室蘭支線)	むろらんせん（むろらんしせん）	輪西	わにし	2.3	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線(室蘭支線)	むろらんせん（むろらんしせん）	御崎	みさき	4.2	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線(室蘭支線)	むろらんせん（むろらんしせん）	母恋	ぼこい	5.9	0	 		0	0	0	0	0	0	!	0	0	0	!
北海道	JR北海道	室蘭線(室蘭支線)	むろらんせん（むろらんしせん）	室蘭	むろらん	7	0	 		0	0	0	0	0	0	!	0	0	0	!
